% discount,discounted_price,full_price,age,mileage,cv,fuel,libro,owner,travel_time,transmission,vista,warranty,title,description,url
0.0,0.12092439985668223,0.35782594308405025,0.4,0.15757136815394374,0.22749999999999998,0.27499999999999997,0.0,0.0,0.5533519553072626,0.0,0.475,0.0,Ford Focus,1.0 Ecoboost Titanium Sportb (125 CV).,https://www.ocasionplus.com/coches-segunda-mano/ford-focus-10-ecoboost-92kw-titanium-sportb-con-83326km-2019
0.05819184722072274,0.4910336796847008,0.5628722700198544,-0.0,0.17190209346584903,0.26,0.27499999999999997,0.0,0.475,0.4262569832402235,0.0,0.475,0.0,Citroën C4 Picasso,PureTech 130 S&S Feel (130 CV),https://www.ocasionplus.com/coches-segunda-mano/citroen-c4-picasso-puretech-130-sands-6v-feel-con-81820km-2016
0.05819184722072274,0.4910336796847008,0.5628722700198544,-0.0,0.15880841615563548,0.05849999999999998,0.0,0.0,0.475,0.4262569832402235,0.0,0.475,0.0,Citroën C4,BlueHDi 100 Live Edition (99 CV),https://www.ocasionplus.com/coches-segunda-mano/citroen-c4-bluehdi-100-live-edition-con-83196km-2016
0.05819184722072274,0.4910336796847008,0.5628722700198544,-0.0,0.29028758722774367,0.22749999999999998,0.27499999999999997,0.0,0.475,0.4262569832402235,0.0,0.475,0.0,Opel Astra,1.4 Turbo S&S Selective 92 kW (125 CV),https://www.ocasionplus.com/coches-segunda-mano/opel-astra-14-turbo-s-s-125-cv-selective-con-69379km-2016
0.05819184722072274,0.4910336796847008,0.5628722700198544,-0.0,0.2749767392683443,0.05849999999999998,0.27499999999999997,0.0,0.0,0.7,0.0,0.0,0.0,Toyota Yaris,100 Active (99 CV),https://www.ocasionplus.com/coches-segunda-mano/toyota-yaris-13-100-active-con-70988km-2016
0.05828121457086165,0.4874059476890005,0.560638649900728,0.4,0.40280186085853253,0.019500000000000017,0.27499999999999997,0.0,0.475,0.2405027932960894,0.0,0.475,0.0,Renault Twingo,Intens TCe (95CV) GPF,https://www.ocasionplus.com/coches-segunda-mano/renault-twingo-intens-tce-68kw-95cv-gpf-con-57555km-2019
0.058352122969042935,0.48450376209244,0.5588517538054268,0.1333333333333334,0.06997885388031297,0.0,0.27499999999999997,0.0,0.475,0.2581005586592179,0.0,0.475,0.0,Nissan Micra,IG-T S&S Acenta (90CV),https://www.ocasionplus.com/coches-segunda-mano/nissan-micra-ig-t-66-kw-90-cv-sands-acenta-con-92531km-2017
0.05833129027105448,0.46910605517735576,0.549470549305096,0.2666666666666666,0.23559103404525275,0.0,0.27499999999999997,0.0,0.475,0.4262569832402235,0.0,0.475,0.0,Dacia Sandero,Stepway TCe  (90 CV),https://www.ocasionplus.com/coches-segunda-mano/dacia-sandero-stepway-tce-66kw-90cv-con-75127km-2018
0.05833129027105448,0.46910605517735576,0.549470549305096,0.1333333333333334,0.2645665045464158,0.0,0.27499999999999997,0.0,0.475,0.4262569832402235,0.0,0.475,0.0,Seat Ibiza,1.2 TSI Style  (90 CV),https://www.ocasionplus.com/coches-segunda-mano/seat-ibiza-12-tsi-66kw-90cv-style-con-72082km-2017
0.05812186796637085,0.46168935865281263,0.5450033090668431,0.1333333333333334,0.0841953901459082,0.0,0.27499999999999997,0.0,0.475,0.7,0.3,0.475,0.0,Smart Forfour,0.9 S&S Passion AUTO (90 CV),https://www.ocasionplus.com/coches-segunda-mano/smart-forfour-09-66kw-90cv-s-s-passion-con-91037km-2017
