description,ibkr-symbol,region,exchange,isin,just-etf,extra-etf
GRANITESHARES -3X DANONE,3SDA,IE - Ireland,SBF*,XS2376974486,https://www.justetf.com/es/etf-profile.html?isin=XS2376974486,https://extraetf.com/es/etf-profile/XS2376974486
LS -3X OIL & GAS,3SEE,IE - Ireland,LSEETF*,XS2399370803,https://www.justetf.com/es/etf-profile.html?isin=XS2399370803,https://extraetf.com/es/etf-profile/XS2399370803
GRANITESHARES 3X SHORT ENI,3SEN,IE - Ireland,BVME.ETF*,XS2435551325,https://www.justetf.com/es/etf-profile.html?isin=XS2435551325,https://extraetf.com/es/etf-profile/XS2435551325
GRANITESHARES 3X SHORT FB,3SFB,IE - Ireland,BVME.ETF*,XS2671672819,https://www.justetf.com/es/etf-profile.html?isin=XS2671672819,https://extraetf.com/es/etf-profile/XS2671672819
WT SILVER 3X DAILY LEVERAGED,3SIL,IE - Ireland,BVME.ETF*,IE00B7XD2195,https://www.justetf.com/es/etf-profile.html?isin=IE00B7XD2195,https://extraetf.com/es/etf-profile/IE00B7XD2195
WT SILVER 3X DAILY SHORT,3SIS,IE - Ireland,BVME.ETF*,IE00B8JG1787,https://www.justetf.com/es/etf-profile.html?isin=IE00B8JG1787,https://extraetf.com/es/etf-profile/IE00B8JG1787
GRANITESHARES 3X SHORT MIB,3SIT,IE - Ireland,BVME.ETF*,XS2531766447,https://www.justetf.com/es/etf-profile.html?isin=XS2531766447,https://extraetf.com/es/etf-profile/XS2531766447
3X SOUTH KOREA,3SKE,IE - Ireland,LSEETF*,XS2472196257,https://www.justetf.com/es/etf-profile.html?isin=XS2472196257,https://extraetf.com/es/etf-profile/XS2472196257
3X LONG SILVER,3SLE,IE - Ireland,LSEETF*,XS2472195952,https://www.justetf.com/es/etf-profile.html?isin=XS2472195952,https://extraetf.com/es/etf-profile/XS2472195952
GRANITESHARES -3X LVMH,3SLV,IE - Ireland,SBF*,XS2376975376,https://www.justetf.com/es/etf-profile.html?isin=XS2376975376,https://extraetf.com/es/etf-profile/XS2376975376
GRANITESHARES 3X SHORT MSFT,3SME,IE - Ireland,LSEETF*,XS2722160707,https://www.justetf.com/es/etf-profile.html?isin=XS2722160707,https://extraetf.com/es/etf-profile/XS2722160707
GRANITESHARES 3X SHORT MSTR,3SMI,IE - Ireland,BVME.ETF*,XS2836637525,https://www.justetf.com/es/etf-profile.html?isin=XS2836637525,https://extraetf.com/es/etf-profile/XS2836637525
GRANITESHARES -3X MODERNA,3SMO,IE - Ireland,SBF*,XS2838543614,https://www.justetf.com/es/etf-profile.html?isin=XS2838543614,https://extraetf.com/es/etf-profile/XS2838543614
-3X MICROSOFT,3SMT,IE - Ireland,LSEETF*,XS2472334239,https://www.justetf.com/es/etf-profile.html?isin=XS2472334239,https://extraetf.com/es/etf-profile/XS2472334239
-3X AMAZON,3SMZ,IE - Ireland,LSEETF*,XS2472334312,https://www.justetf.com/es/etf-profile.html?isin=XS2472334312,https://extraetf.com/es/etf-profile/XS2472334312
GRANITESHARES 3X SHORT NFLX,3SNFT,IE - Ireland,LSEETF*,XS2675292135,https://www.justetf.com/es/etf-profile.html?isin=XS2675292135,https://extraetf.com/es/etf-profile/XS2675292135
GRANITESHARES 3X SHORT NIO,3SNI,IE - Ireland,BVME.ETF*,XS2626290311,https://www.justetf.com/es/etf-profile.html?isin=XS2626290311,https://extraetf.com/es/etf-profile/XS2626290311
GRANITESHARES 3X SHORT ENEL,3SNL,IE - Ireland,BVME.ETF*,XS2435552729,https://www.justetf.com/es/etf-profile.html?isin=XS2435552729,https://extraetf.com/es/etf-profile/XS2435552729
GRANITESHARES -3X L'OREAL,3SOR,IE - Ireland,SBF*,XS2376974999,https://www.justetf.com/es/etf-profile.html?isin=XS2376974999,https://extraetf.com/es/etf-profile/XS2376974999
GRANITESHARES -3X PALANTIR,3SPA,IE - Ireland,SBF*,XS2836484787,https://www.justetf.com/es/etf-profile.html?isin=XS2836484787,https://extraetf.com/es/etf-profile/XS2836484787
GRANITESHARES -3X SPOT,3SPO,IE - Ireland,BVME.ETF*,XS2838543531,https://www.justetf.com/es/etf-profile.html?isin=XS2838543531,https://extraetf.com/es/etf-profile/XS2838543531
GRANITESHARES 3X SHORT PP,3SPP,IE - Ireland,BVME.ETF*,XS2376992389,https://www.justetf.com/es/etf-profile.html?isin=XS2376992389,https://extraetf.com/es/etf-profile/XS2376992389
LEVERAGE SHARES 3X SQUARE ET,3SQE,IE - Ireland,LSEETF*,XS2675718139,https://www.justetf.com/es/etf-profile.html?isin=XS2675718139,https://extraetf.com/es/etf-profile/XS2675718139
GRANITESHARES -3X SAFRAN,3SSA,IE - Ireland,SBF*,XS2376975616,https://www.justetf.com/es/etf-profile.html?isin=XS2376975616,https://extraetf.com/es/etf-profile/XS2376975616
GRANITESHARES -3X SCHNEIDER,3SSE,IE - Ireland,SBF*,XS2376976853,https://www.justetf.com/es/etf-profile.html?isin=XS2376976853,https://extraetf.com/es/etf-profile/XS2376976853
GRANITESHARES -3X SANOFI,3SSN,IE - Ireland,SBF*,XS2376976341,https://www.justetf.com/es/etf-profile.html?isin=XS2376976341,https://extraetf.com/es/etf-profile/XS2376976341
GRANITESHARES 3X SHORT ISP,3SSP,IE - Ireland,BVME.ETF*,XS2435551671,https://www.justetf.com/es/etf-profile.html?isin=XS2435551671,https://extraetf.com/es/etf-profile/XS2435551671
GRANITESHARES 3X SHORT SQ,3SSQ,IE - Ireland,BVME.ETF*,XS2836701123,https://www.justetf.com/es/etf-profile.html?isin=XS2836701123,https://extraetf.com/es/etf-profile/XS2836701123
GRANITESHARES -3X STMICRO,3SST,IE - Ireland,SBF*,XS2376979287,https://www.justetf.com/es/etf-profile.html?isin=XS2376979287,https://extraetf.com/es/etf-profile/XS2376979287
GRANITESHARES 3X SHORT TSLA,3STE,IE - Ireland,LSEETF*,XS2656471039,https://www.justetf.com/es/etf-profile.html?isin=XS2656471039,https://extraetf.com/es/etf-profile/XS2656471039
-3X SHORT TSLA,3STL,IE - Ireland,LSEETF*,XS2706232803,https://www.justetf.com/es/etf-profile.html?isin=XS2706232803,https://extraetf.com/es/etf-profile/XS2706232803
GRANITESHARES -3X TOTAL,3STO,IE - Ireland,SBF*,XS2376979873,https://www.justetf.com/es/etf-profile.html?isin=XS2376979873,https://extraetf.com/es/etf-profile/XS2376979873
GRANITESHARES 3X SHORT UBER,3SUB,IE - Ireland,BVME.ETF*,XS2626290238,https://www.justetf.com/es/etf-profile.html?isin=XS2626290238,https://extraetf.com/es/etf-profile/XS2626290238
WT SUGAR 3X DAILY LEVERAGED,3SUL,JE - Jersey,BVME.ETF*,JE00BYQY7H96,https://www.justetf.com/es/etf-profile.html?isin=JE00BYQY7H96,https://extraetf.com/es/etf-profile/JE00BYQY7H96
GRANITESHARES 3X SHORT NVDA,3SVE,IE - Ireland,LSEETF*,XS2842095676,https://www.justetf.com/es/etf-profile.html?isin=XS2842095676,https://extraetf.com/es/etf-profile/XS2842095676
GRANITESHARES -3X VW,3SVW,IE - Ireland,SBF*,XS2376991142,https://www.justetf.com/es/etf-profile.html?isin=XS2376991142,https://extraetf.com/es/etf-profile/XS2376991142
