id,user_id,title,description,reserved,web_slug,item_is_shippable,user_allows_shipping,date_last_modified,date_first_created,date_last_scraped,country_code,num_images,refurbished,currency,price_cents
8j3emr5gpyz9,wzynex4o4xj5,Mando TV samsung,"Mando TV Samsung , está en perfecto estado ..
No negociable y no chapas .
Si te interesa le das a comprar , si no te interesa , no molestes .",0,mando-tv-samsung-775477610,1,1,24071300,22041900,24081120,ES,1,0,EUR,400
8j34x1739y69,owzydmp81vz5,Cable HDTV para conectar Iphone,"Cable HDTV para conectar Iphone 5,6, 7 y Ipad. También modelos plus. ",0,cable-hdtv-para-conectar-iphone-985692458,1,1,24071009,24022415,24081120,ES,2,0,EUR,400
pzprw7r51463,3zl4v1dx9pjx,TDT,TDT mas conector Televes  sin mando,0,tdt-839786202,1,1,24071000,22101922,24081120,ES,2,0,EUR,400
9jdx0qwo4nzk,4w673e8385jx,televisor antiguo analógico,"Televisor WELLTECH - NR40370
14""
Funciona bien aunque la calidad de imagen es algo pobre. 
Tiene conector universal para poder conectar a TDT. 
",0,televisor-antiguo-analogico-331540136,1,0,24071020,19022420,24081120,ES,3,0,EUR,400
pj9mn87wxo6e,e65ypv8prpjo,Antenas TV,"2 antenas 
TV 
",0,antenas-tv-1019102613,1,1,24071422,24061211,24081120,ES,6,0,EUR,400
qzm4r5qrdgzv,nz0gk3xdgrjo,mandos TDT,Mandos TDT 4  cada uno,0,mandos-tdt-556041432,1,0,24080310,20100801,24081120,ES,3,0,EUR,400
pzp2y9kynlj3,0j2wov3vemjy,Cable euroconector audio vídeo,"Cable euroconector audio vídeo.
Envío o entrego en mano en zona metro Canillas (línea 4) de Madrid. ",0,cable-euroconector-audio-video-964225102,1,1,24080320,23121114,24081120,ES,2,0,EUR,400
e658v3w95k6o,lqzmowpyrg6v,Cintas vhs,"4€ CADA UNA. 
1.El rey León
2.La Bella y la bestia
3.Fantasía
4.Pinocho
    5.Cenicienta 
    6.El príncipe de Egipto
    7.Dumbo
    8.Alicia en el pais de las maravillas
    9.Aladin
    10.La bella durmiente
    11.Peter Pan
    12.El libro de la Selva",0,cintas-vhs-964768696,1,1,24080309,23121310,24081120,ES,4,0,EUR,400
36en1kdoon6d,8z8qy18y41z3,euroconector a v 3 colores,euroconector para ehcufar los 3 colores de consolas retro,0,euroconector-a-v-3-colores-618118515,1,1,24080223,21031720,24081120,ES,3,0,EUR,400
p61y03woe765,436ee59g0q6d,TV antigua,Funciona y se ve perfectamente ,0,tv-antigua-905335155,1,0,24080211,23052818,24081120,ES,5,0,EUR,400
qzm3mm29v16v,9nz08940436o,Scart uno de 2 metros y otro de 5,Scart 2 m y 5 sin apenas uso,0,cables-scart-uno-de-2-metros-y-otro-de-5-623394108,1,1,24080212,21040116,24081120,ES,6,0,EUR,400
nz04m0qx77jo,pj9k8xxydmze,Toma de antena Televes,Se venden tomas de tv Televes nuevas.,0,toma-de-antena-televes-973051199,1,0,24080209,24011315,24081120,ES,2,0,EUR,400
8j3ev78y32z9,k3zlx5pvnqzx,películas VHS dibujos animados,cada una 5 €. se pueden coger individuales,0,peliculas-vhs-dibujos-animados-771795634,1,1,24080213,22040414,24081120,ES,2,0,EUR,400
mzn8qn3k42zn,qnzxqgkd2p62,Mando a distancia universal ,"Vendo mando a distancia universal 8 en 1 de marca supportplus, completamente nuevo en su embalaje original y con su manual de instrucciones.",0,mando-a-distancia-universal-890247749,1,1,24080313,23040520,24081120,ES,2,0,EUR,400
nz0vrvegq3jo,4w67xdw5g5jx,Mando a distancia,Sin uso,0,mando-a-distancia-630306351,1,1,24080218,21041822,24081120,ES,1,0,EUR,400
x6qd5vxx9qjy,8z8148q54l63,CD de televisión Sony bravía ,"CD de televisión Sony bravía lo traía el televisor, PlayStation ",0,cd-de-television-sony-bravia-942041742,1,1,24080218,23100421,24081120,ES,2,0,EUR,400
0j234rkxge6y,evjr7mvpy96k,5 CINTAS VHS PELUQUERIA,Diferentes trabajos.,0,5-cintas-vhs-peluqueria-805396859,1,1,24080220,22072619,24081120,ES,3,0,EUR,400
8j3ywoqnk769,xpzp1ylx1mz3,RCA/VIDEO MACHO,"Vendo rca/video macho de 1 metro,en perfecto estado,entrega en mano.",0,rca-video-macho-521826382,1,0,24081118,20071212,24081120,ES,1,0,EUR,400
qjwpo5q41wzo,kp617kpkqx65,dvd,variedad de peliculas,0,dvd-929100353,1,0,24080320,23082710,24081120,ES,1,0,EUR,400
mzn8ey1lw2zn,p61oy4o9lgj5,TV 32 para arreglar,¿Se puede ajustar,0,tv-32-da-aggiustare-851227949,1,1,24080318,22112121,24081120,IT,5,0,EUR,400
p617dvomqd65,p8j3pyyggl69,conmutador euroconector,Conmutador/ladrón euroconector con 3 salidas.para cuando no tienes más euroconectores en la tele. Nuevo sin usar,0,conmutador-euroconector-661264931,1,1,24080315,21071216,24081120,ES,5,0,EUR,400
3zl810y1w26x,9wzv0kdo076l,CABLE ANTENA ,cable para antena de televisión  son 8 metros .,0,cable-antena-989953169,1,1,24080316,24030918,24081120,ES,3,0,EUR,400
mzn249evdyzn,4z4ydk1n4rzy,SOPORTE TFT PLASMA,Soporte tft plasma. Desde 22 a 32. Dista sólo 15 mm. de la parrd quedando invisible.,0,soporte-tft-plasma-963286149,1,1,24080307,23120813,24081120,ES,3,0,EUR,400
nz0g0kr3vrjo,7v6gklpdx2ze,HOUSE DVD SERIE,"Precio no negociable 4€ CADA TEMPORADA
precio de envio desde 5 mas€",0,house-dvd-serie-229030927,1,1,24080308,18052414,24081120,ES,2,0,EUR,400
0j24wxyw0ezy,xzo8x5wepl69,Televisión  portatil,televisión de Colacao ,0,television-pequena-portatil-969478235,1,1,24080219,24010119,24081120,ES,5,0,EUR,400
8j3xv92927j9,p8j3ylr7pl69,Cinta VHS TDK,"Cinta de video VHS virgen empaquetada, 180 minutos, tengo 3 unidades",0,cinta-vhs-tdk-578432710,1,1,24080501,20120317,24081120,ES,2,0,EUR,400
qjw4qm2gxezo,x6qy90opv5jy,Radiotelevisión portátil AMSTRAD,Televisión Radio 5»,0,televisione-radio-portatile-amstrad-1034914129,1,1,24080417,24080319,24081120,IT,8,0,EUR,400
