"id","tipo","icon","icon_new","key","name","slug","title","diversidad","otros","order","relevance","hidden","created_at","updated_at"
"39","familia","comunidad_profesores.svg","Comunidad_profesores.svg","comunidad_profesores","Comunidad de profesores","comunidad-de-profesores","En la Web se refleja si hay una asociación/comunidad de profesores? (no departamento)","0","0","9",,"1","22/12/2020 15:36:52","23/6/2022 12:21:52"
"40","familia","comunidad_profesores_email.svg","Email_Comunidad_profesores.svg","comunidad_profesores_email","Email comunidad de profesores","email-comunidad-de-profesores","Émail asociado a comunidad de profesores","0","0","10",,"1","22/12/2020 15:37:00","23/6/2022 12:21:52"
"41","rsedu","proyecto_educativo_web.svg","Proyecto_educativo_web.svg","proyecto_educativo_en_web","Proyecto educativo en web","proyecto-educativo-en-web","Se explica el proyecto educativo en la Web","0","0","1",,"1","22/12/2020 15:37:04","23/6/2022 12:21:52"
"42","rsedu","memoria_centro_web.svg","Memoria_centro_web.svg","memoria_centro_web","Memoria del centro en web","memoria-del-centro-en-web","Hay disponible una memoria del centro en la Web","0","0","2",,"1","22/12/2020 15:37:09","23/6/2022 12:21:52"
"43","comedor","nutricion.svg","Nutricionista.svg","menu_nutricion","Nutricionistas","nutricionistas","Menú supervisado por nutricionistas","0","0","4","2","0","22/12/2020 15:37:13","10/11/2023 13:45:04"
"44","rsedu","labor_social.svg","Aprendizaje_Servicio.svg","labor_social","Aprendizaje-Servicio","aprendizaje-servicio","Los alumnos hacen algún tipo de labor social","0","0","3",,"1","22/12/2020 15:37:17","23/6/2022 12:21:52"
"45","rsedu","agenda_2030.png","Agenda_2030.svg","agenda_2030","Agenda 2030","agenda-2030","Tiene objetivos de desarrollo sostenible. Aparece algún logo en la Web indicando Agenda 2030","0","0","4",,"1","22/12/2020 15:37:21","23/6/2022 12:21:52"
"46","rsedu","vida_saludable.svg","Vida_Saludable.svg","vida_saludable","Vida saludable","vida-saludable","Dan importancia a las actividades deportivas, formación en vida saludable.","0","0","5",,"1","22/12/2020 15:37:25","23/6/2022 12:21:52"
"47","rsedu","orientacion.svg","Orientacion.svg","orientacion","Orientación","orientacion","Servicio de Orientación","0","0","6",,"1","22/12/2020 15:37:29","23/6/2022 12:21:52"
"48","rsedu","equipo_mediacion.svg","Equipo_mediacion.svg","equipo_mediacion","Equipo de mediación","equipo-de-mediacion","Programa/equipo de mediación","0","0","7",,"1","22/12/2020 15:37:31","23/6/2022 12:21:52"
"49","otros","167727.svg","Horario.svg","horario_tipo","Horario","horario",,"0","0","8",,"1","31/10/2020 18:41:14","12/8/2022 13:38:34"
"50","adaptacion",,"Tipo_Adaptacion.svg","tipo_adaptacion","Tipo de adaptación","tipo-de-adaptacion",,"0","0","5",,"1","31/10/2020 18:41:14","23/6/2022 12:21:52"
"51","bachillerato",,"Bachillerato_Dual.svg","bachillerato_dual","Bachillerato Dual","bach-dual",,"0","1","1","4","0","31/1/2022 22:27:52","10/11/2023 13:45:08"
"52","bachillerato",,"Bachillerato_Internacional.svg","bachillerato_internacional","IB (Bachillerato Internacional)","ib-bachillerato-internacional",,"0","1","2","5","0","31/1/2022 22:28:00","24/4/2024 12:38:46"
"53","bachillerato",,"Bachillerato_Dual.svg","bachibac","Bachillerato Francés (Bachibac)","bachillerato-frances-bachibac",,"0","1","3","1","0","25/10/2023 12:36:37","9/4/2024 09:45:57"
"54","adaptacion",,"altas_capacidades.png","capacidades","Altas Capacidades","altas-capacidades","Adaptado para alumnos con altas capacidades.","1","0","9","1","0","9/4/2024 09:42:19","14/4/2024 19:43:48"
