name,prefix,alias
Tomás Barros,null,Instituto
Prat,null,Instituto
Alemán - Deutsche Schule San Sebastián,null,Colegio
Yocris,"CENTRE PRIVAT ",Colegio
John Talabot,null,Colegio
Cultura,null,Colegio
San Luis La Salle,null,Colegio
Tic,null,Instituto
San Marcelino,"CENTRE PRIVAT ",Colegio
Madre María Rosa Molas,null,Colegio
Madre María Rosa Molas,"CENTRE PRIVAT ",Colegio
Luther King San Miguel,null,Colegio
CPR Mendiño,null,Instituto
Joaquima De Vedruna Terrassa,null,Colegio
Pàlcam,null,Colegio
Cultural Fluvià,null,Colegio
San Nicolás De Bari,null,Colegio
Institució Mallorca Aixa-Llaüt,null,Colegio
Milenium,null,Instituto
Betiko Ikastola,null,Colegio
Palma,"CENTRE PRIVAT ",Colegio
San Prudencio Ikastetxea,null,Colegio
Los Sauces Pontevedra,null,Colegio
Joan Roig,null,Colegio
Fingoi,null,Colegio
Seminario Menor Diocesano,"CENTRO PRIVADO ",Colegio
Seminario Diocesano,Seminario,Colegio
Internacional ánfora,null,Colegio
María De Icíar,"CENTRE PRIVAT ",Colegio
Seminario Menor Diocesano San Pelay,Seminario Menor,Instituto
Mare De Déu Dels Àngels,null,Colegio
Seminario Menor Diocesano A Inmaculada,Seminario Menor,Instituto
Santa Joaquina De Vedruna,"CENTRE PRIVAT ",Colegio
Attelier,null,Instituto
Los Naranjos,null,Colegio
María Assumpta,null,Colegio
San Valero,null,Colegio
San Vicente De Paul,"CENTRE PRIVAT ",Colegio
Palacio De Granda,null,Colegio
San Vicente Ferrer - Salesianos,"CENTRE PRIVAT ",Colegio
María Cortina,null,Colegio
Borja - Jesuitas,"CENTRE PRIVAT ",Colegio
Alemán de Zaragoza,null,Colegio
Internacional Pureza de María,null,Colegio
Padres Trinitarios,null,Colegio
Jesús-Maria Sant Andreu,null,Colegio
"Jesús-María San Isidro ","CENTRO PRIVADO ",Colegio
Internacional San Jorge,null,Colegio
Santo Domingo Savio,"CENTRE PRIVAT ",Colegio
Dobao Imagen,null,Instituto
Isoveri Formació,null,Instituto
UTMAR (C/Molí),null,Colegio
Jesús-María Asís,"CENTRE PRIVAT ",Colegio
Santo Ángel De La Guarda,null,Colegio
Belarmino Fernández Iglesias,null,Instituto
San Eutiquio,null,Instituto
La Salle Mao,null,Colegio
Santa Cristina,null,Colegio
Santísima Trinidad,"CENTRE PRIVAT ",Colegio
Santísima Sacramento,null,Colegio
Santísima Rosario,null,Colegio
María Auxiliadora La Roda - Salesianas,null,Colegio
Brianxa,null,Colegio
Cristo Rey,null,Instituto
Sant Andreu,null,Colegio
Sant Antoni Abat Palma,null,Colegio
Padre Míguez,null,Colegio
Santa Teresa de Jesús,"CENTRE PRIVAT ",Colegio
Arturo,null,Instituto
International School Peniscola,"CENTRE PRIVAT ",Colegio
Jesuitinas Bilbao La Inmaculada,null,Colegio
Maristes Sant Pere Chanel,null,Colegio
Salvador Moreno,null,Colegio
Jesuïtes Sarrià - Sant Ignasi,null,Colegio
Santa Rosa,null,Colegio
Breogan,null,Colegio
Santa Mónica,null,Colegio
Jesuitak Indautxu,null,Colegio
Jesucristo Aparecido,null,Colegio
Sant Bonaventura,null,Colegio
Aula Nosa,null,Instituto
Santa María La Real,null,Colegio
Alfageme,null,Colegio
Santa María La Nueva y San José Artesano,null,Colegio
Santa María Ikastetxea,null,Colegio
Ipse,null,Colegio
Santa María Dels Apòstols,null,Colegio
Santa María Del Socorro,null,Colegio
Santa María Del Puig,"CENTRE PRIVAT ",Colegio
Santa María Del Pino,null,Colegio
Santa María del Naranco,null,Colegio
Altagracia,null,Instituto
Santa María Del Mar - Jesuitas,null,Colegio
Brains Las Palmas,null,Colegio
Santa María Del Carmen,"CENTRO PRIVADO ",Colegio
Sant Cristòfor Màrtir I,"CENTRE PRIVAT ",Colegio
Santa María Del Carmen,null,Colegio
Mare De Déu Del Roser Les Planes,null,Colegio
Sant Felip Neri,null,Colegio
Art Ourense,null,Instituto
Abusu Ikastola,null,Colegio
Santa María De Los Volcanes,null,Colegio
Jaume Viladoms Centre Educatiu,null,Colegio
Mare De Déu Del Socós,null,Colegio
Sant Francesc,"CENTRE PRIVAT ",Colegio
Irlandesas,null,Colegio
Santa María De La Paz,null,Colegio
Santa María De La Huerta,"CENTRO PRIVADO ",Colegio
Santa María De La Expectación,null,Colegio
Santa María De La Esperanza,null,Colegio
San Felipe Neri,null,Colegio
Suso Añón,null,Instituto
Bouza Brey,null,Colegio
Santa Maria Assumpta,null,Colegio
Mare De Déu Del Pilar,null,Colegio
Santa María - Marianistas,"CENTRE PRIVAT ",Colegio
Jaso Ikastola,null,Colegio
Alfa I Omega,"CENTRE PRIVAT ",Colegio
Santísima Virgen De Valvanuz,null,Colegio
Santa Ana Zaragoza,null,Colegio
Irura Ikastola,null,Colegio
Sant Jaume De La Fep,null,Colegio
El Salvador - Jesuitas,null,Colegio
Jardí,null,Colegio
Santa Faz,"CENTRE PRIVAT ",Colegio
Santa Dorotea - Salesianas Sarriá,null,Colegio
Daina Isard,null,Colegio
Abrente,null,Colegio
La Salle De Cassà,null,Colegio
Jado,null,Colegio
Santa Catalina Laboure,null,Colegio
Sant Lluís Gonçaga,null,Colegio
Santa Ana,"CENTRO PRIVADO ",Colegio
Sant Medir,null,Colegio
María Anna Mogas,null,Colegio
Sant Vicenç de Paül Cas Capiscol - FECIB,null,Colegio
Sant Miquel Dels Sants,null,Colegio
Agora Sant Cugat International School,null,Colegio
Bon Pastor,null,Colegio
Sant Pau Apòstol,null,Colegio
Sant Ramon Nonat-Sagrat Cor,null,Colegio
Anxela,null,Instituto
Boix,null,Colegio
Sant Ramón De Penyafort,null,Colegio
Sant Rafael,null,Colegio
Apostólico Mercedario,null,Instituto
Sant Roc,"CENTRE PRIVAT ",Colegio
Sant Ramón Nonat,null,Colegio
Sant Miquel Arcàngel,null,Colegio
Calasanz Santurtzi,null,Colegio
Isabel La Católica-san Antonio,null,Colegio
Mare De Déu De Les Neus,null,Colegio
Stucom,null,Instituto
Sant Josep Teresianes,null,Colegio
San Juan Y San Pablo,"CENTRE PRIVAT ",Colegio
Isabel De Villena,null,Colegio
Sant Joan Baptista,null,Colegio
Bon Salvador,null,Colegio
Santa Ana Y San José De La Montaña,"CENTRE PRIVAT ",Colegio
Sant Gregori,null,Colegio
Sant Francesc De Sales,null,Colegio
Sant Feliu,null,Colegio
Ipsi,null,Colegio
Magda,null,Colegio
International School San Patricio Toledo,null,Colegio
Sant Antoni María Claret,null,Colegio
Sant Antoni,"CENTRE PRIVAT ",Colegio
Santa Claus,null,Colegio
Campelo Afundación,Fundación,Escuela Infantil
Sant Alfons,null,Colegio
Bizilore,null,Colegio
Sanfeliu,null,Colegio
Taller Ginebró,null,Instituto
Santa Cruz,"CENTRE PRIVAT ",Colegio
Internacional SEK Catalunya,null,Colegio
Internacional SEK Atlántico,null,Colegio
El Pilar-compañia De María,null,Colegio
San Vicente Ferrer-dominicos,"CENTRE PRIVAT ",Colegio
Internacional Meres,null,Colegio
Bisbe Verger,null,Colegio
Internacional Jesuitinas Miralba,null,Colegio
San Viator Ikastetxea,null,Colegio
Lope Castellón,"CENTRE PRIVAT ",Colegio
María Auxiliadora de Terrassa - Salesianas,null,Colegio
Internacional Eirís,null,Colegio
San Rosendo,null,Colegio
Aristos,null,Colegio
Internacional Campolara,null,Colegio
Internacional Ausias March,null,Colegio
San Raimundo De Peñafort,"CENTRE PRIVAT ",Colegio
Anoeta Ikastola,null,Colegio
Aula,null,Instituto
San Pedro Y San Felices,null,Colegio
San Pedro Pascual,"CENTRE PRIVAT ",Colegio
San Pedro Apóstol,"CENTRE PRIVAT ",Colegio
Orio Herri Ikastola,null,Colegio
Institució Tarragona,null,Colegio
San Patricio,null,Colegio
Institució Lleida,null,Colegio
Institució Igualada,null,Colegio
Institució Familiar Educació Les Alzines,null,Colegio
San Nikolas Ikastola,null,Colegio
Bilingüe Muntori,"CENTRE PRIVAT ",Colegio
Col·legi Santo Angel,null,Colegio
Cumbres School Valencia,null,Colegio
Santa Isabel (Sant Cugat),null,Colegio
Cumbres,null,Colegio
San Miguel 2,null,Colegio
Agarimo,null,Instituto
Afundación A Coruña,Fundación,Instituto
Inmaculado Corazón De María,"CENTRE PRIVAT ",Colegio
Inmaculada Concepción - Jesuitas,null,Colegio
Inmaculada - Jesuitas,"CENTRE PRIVAT ",Colegio
Iñigo Aritza Ikastola,null,Colegio
Inglés Zaragoza,null,Colegio
Ingles / The English School,null,Colegio
San Juan De La Cruz,"CENTRE PRIVAT ",Colegio
San José Hermanas Franciscanas de la Inmaculada,CENTRE PRIVAT SAN JOSÉ HH. FRANCISCANAS DE LA INMACULADA,Colegio
María Goretti,null,Colegio
Betània,null,Colegio
"San José, San Andrés Y San Benito","CENTRE PRIVAT ",Colegio
San José Y Santa Ana,"CENTRE PRIVAT ",Colegio
San José MM Concepcionistas,null,Colegio
San José Ikastetxea,null,Colegio
Virgen Del Rosario,"CENTRE PRIVAT ",Colegio
Immaculada Concepció Barcelona,null,Colegio
Oller 2,"CENTRE PRIVAT ",Colegio
San José De La Montaña,"CENTRE PRIVAT ",Colegio
San Enrique,null,Colegio
La Sagrada Familia,null,Colegio
San José De Floreaga - Salesianos,null,Colegio
San José de Cluny,null,Colegio
Oleza,"CENTRO PRIVADO ",Colegio
San José - Carmelitas,null,Colegio
San José (Fundación Educere),null,Colegio
Ikasbide,null,Colegio
"San Gregorio, La Mennais Aguilar de Campoo",null,Colegio
La Purísima Y San Francisco,"CENTRE PRIVAT ",Colegio
Santa Maria-hijas De La Cruz,null,Colegio
Jesuïtes Gràcia - Kostka,null,Colegio
San Jaime,null,Colegio
Freta,null,Instituto
"Divina Pastora Franciscanas ",null,Colegio
Divina Pastora de Monóvar,"CENTRE PRIVAT ",Colegio
Cristo Rey - Fundación Educere,null,Colegio
San Fidel Ikastola,null,Colegio
Ibaialde Ikastola,null,Colegio
San Fermin Ikastola,null,Colegio
María Madre-politecnos,null,Colegio
Iale International School,"CENTRE PRIVAT ",Colegio
Arangoiti Ikastola,null,Colegio
San José De La Guía,null,Colegio
Los Sauces Vigo,null,Colegio
Santa Teresa De Lisieux,null,Colegio
San Cristóbal,"CENTRE PRIVAT ",Colegio
Fundación Masaveu - Salesianos,Fundación,Instituto
Santa Teresa-vistahermosa,"CENTRE PRIVAT ",Colegio
San Cernin,null,Colegio
Arrels-Blanquerna,null,Colegio
Best Schule,null,Colegio
Col·legi Sant Marc De Sarrià,null,Colegio
Fundación Laboral Da Construcción,Fundación,Instituto
San Jose-niño Jesús,null,Colegio
San Bizente Ikastola,null,Colegio
Bertran,null,Colegio
Jesús María,null,Colegio
San Juan Bautista De La Salle,null,Colegio
La Salle Berrozpe Ikastetxea,null,Colegio
San Antonio María Claret,null,Colegio
San Antonio De Padua,"CENTRE PRIVAT ",Colegio
San Juan Bosco - Salesianos Cartagena,null,Colegio
San Antonio Abad,"CENTRE PRIVAT ",Colegio
Jesús María Fernando el Católico,"CENTRE PRIVAT ",Colegio
San Juan Bosco - Salesianos,Seminario Menor,Colegio
La Salle Alaior,null,Colegio
Ingenio,null,Colegio
San Alberto Magno,"CENTRO PRIVADO ",Colegio
Hogar Parroquial San José,"CENTRE PRIVAT ",Colegio
Jesús Reparador,null,Colegio
Oms I De Prat,null,Colegio
CEIPS Torre Salinas,null,Colegio
Jesús Obrero,null,Colegio
Agustín Gericó,null,Colegio
Berrio-otxoa,null,Colegio
María Reina Eskola,null,Colegio
Santísimo Cristo De La Fe,"CENTRE PRIVAT ",Colegio
San Luis Gonzaga,"CENTRE PRIVAT ",Colegio
Jesús Salvador,null,Colegio
Hispano,null,Colegio
Inmaculada Enpetrol,null,Colegio
La Salle Horta,null,Colegio
San Martín De Porres,null,Colegio
Tesdai,null,Instituto
San Miguel Arcángel,"CENTRE PRIVAT ",Colegio
SALESIANS SANT BOI,null,Colegio
Salesianos-San Juan Bosco,"CENTRE PRIVAT ",Colegio
Obra Diocesana Santo Domingo De Silos,null,Colegio
Salesianos San Rafael,"CENTRE PRIVAT ",Colegio
Hijas De San José,null,Colegio
Salesianos San Juan Bautista,"CENTRE PRIVAT ",Colegio
María De Los ángeles Suárez De Calderón,"CENTRE PRIVAT ",Colegio
Jesús-María Alfonso X,null,Colegio
La Salle La Laguna,null,Colegio
Maria Rosa Molas,null,Colegio
Salesianos La Cuesta,null,Colegio
Salesianos Huesca (Colegio Salesiano San Bernardo),null,Colegio
SALESIANOS DONOSTIA Basque School,null,Colegio
Salesianos Don Bosco,null,Colegio
Salesianos Domingo Savio,null,Colegio
CPR Sagrado Corazón Franciscanas,null,Colegio
La Salle Bonanova,null,Colegio
CPR PLURILINGÜE FOGAR SANTA MARGARIDA,null,Colegio
San Rafael,"CENTRE PRIVAT ",Colegio
Saldaña Visitación De Nuestra Señora,null,Colegio
Salbatore Mitxelena,null,Colegio
Col·legi Sant Lluís de Pla i Amell-Bosch,null,Colegio
Assís,null,Colegio
María Ward Badalona,null,Colegio
Obradoiro International School,null,Colegio
Dominicas Aranda,null,Colegio
Mare De Déu Del Carme  - Carmelites,null,Colegio
Sagrat Cor-Esclaves,null,Colegio
Sagrat Cor-diputació,null,Colegio
Hernández,"CENTRE PRIVAT ",Colegio
Sagrado Corazón-Corazónista,null,Colegio
"Sagrado Corazón- HH.salesianas ",null,Colegio
Sagrado Corazón Moncayo,null,Colegio
Dominicas La Laguna,null,Colegio
Jesús-María Villafranqueza,"CENTRE PRIVAT ",Colegio
Sagrado Corazón Carmelitas,null,Colegio
Sagrado Corazón - Jesuitas,null,Colegio
Comenius Centre Educatiu,"CENTRE PRIVAT ",Colegio
Santo Tomás De Aquino-la Milagrosa,null,Colegio
Fedac-súria,null,Colegio
ALEGRE,null,Colegio
Fedac-vic,null,Colegio
Sagrada Familia El Pilar - Marianistas,null,Colegio
Col·legi Padre Damián Sagrados Corazones,null,Colegio
Llissach,null,Colegio
Fedac-manresa,null,Colegio
Safa - Sagrada Familia Zaragoza,null,Colegio
Sadako,null,Colegio
Fedac-sant Vicenç,null,Colegio
La Asunción - Josefinas,null,Colegio
Sant Bertomeu,null,Colegio
Big Formación,null,Instituto
Haztegi Ikastola,null,Colegio
Haypo,null,Colegio
Scientia Dénia,"CENTRE PRIVAT ",Colegio
Sonrisas Y Lágrimas,null,Escuela Infantil
Calasanz Escolapios,null,Colegio
Bergantí,null,Colegio
Hamelín-laie Internacional,null,Colegio
La Salle Sant Celoni,null,Colegio
Iraurgi,null,Colegio
Fedac-sant Feliu,null,Colegio
Fedac-sant Andreu,null,Colegio
Sant Francesc Xavier,null,Colegio
Sedaví,"CENTRE PRIVAT ",Colegio
Sant Genís-santa Agnès,null,Colegio
María Auxiliadora,"CENTRO PRIVADO ",Colegio
Fedac-prats,null,Colegio
López Torrejón,null,Colegio
Alonai,"CENTRE PRIVAT ",Colegio
SEI Europa,null,Colegio
Bera Kruz Ikastola,null,Colegio
La Salle-el Carmen,null,Colegio
Madre Sacramento,null,Colegio
Seminario Diocesano Sagrado Corazón,Seminario,Instituto
Seminario Dioces-Santo Domingo De Guzman,Seminario,Colegio
Seminario Diocesano San Miguel,"CENTRO PRIVADO ",Colegio
Mariano Serra,"CENTRE PRIVAT ",Colegio
Madre Josefa Campos,"CENTRE PRIVAT ",Colegio
Sant Joan Bosco,null,Colegio
Can Bonet,null,Colegio
Seminario Menor Diocesano A Asunción,Seminario Menor,Colegio
Joan Roca Guipúzcoa,null,Colegio
Seminario Sagrada Familia,Seminario,Colegio
Seminario Menor Santo Tomás De Villanueva,Seminario Menor,Colegio
Guixot,null,Colegio
Roig Tesalia,null,Colegio
Almen Ikastola,null,Colegio
Fedac-montcada,null,Colegio
Frangoal,null,Colegio
Rodríguez Alberto,null,Colegio
Lleó XIII,null,Colegio
Educem,null,Colegio
Buen Consejo La Laguna,null,Colegio
Joan XXIII - Jesuïtes,null,Colegio
Sant Josep Obrer,null,Colegio
Fedac-horta,null,Colegio
La Seda De Barcelona,null,Colegio
San Agustín,"CENTRE PRIVAT ",Colegio
Fedac-castellar,null,Colegio
San Francisco,null,Escuela Infantil
Guadalaviar,"CENTRE PRIVAT ",Colegio
Colón Grama,null,Colegio
Adalid Meneses,null,Colegio
Nuestra Señora De Los ángeles,"CENTRE PRIVAT ",Colegio
Mare De Déu De L'olivar I,"CENTRE PRIVAT ",Colegio
Ribas,null,Colegio
Rias Altas,null,Colegio
Itxaropena Ikastola,null,Colegio
Marista Nuestra Señora Del Carmen,null,Colegio
Centre d'Estudis Montseny,null,Colegio
Maristas Centro Cultural Vallisoletano,null,Colegio
Fedac - Santa Coloma,null,Colegio
Grans I Menuts,"CENTRE PRIVAT ",Colegio
Som Escola Coop,"CENTRE PRIVAT ",Colegio
Maristas San Miguel,null,Colegio
Augusta,null,Colegio
Sopeña Barcelona,null,Instituto
Ramón Y Cajal,"CENTRE PRIVAT ",Colegio
Arrels I,null,Colegio
Ángel De La Guarda II,"CENTRE PRIVAT ",Colegio
Santa Anna-eixample,null,Colegio
Maristes La Immaculada,null,Colegio
Santa María De La Providencia,null,Colegio
Fedac - Anglès,null,Colegio
C. El Taller,null,Colegio
Ángel De La Guarda,null,Colegio
Irabia-izaga,null,Colegio
María Auxiliadora,"CENTRE PRIVAT ",Colegio
Santa María Del Carmen,"CENTRE PRIVAT ",Colegio
Bell-lloc Del Pla,null,Colegio
Altozano,"CENTRE PRIVAT ",Colegio
Santa María Del Pilar - Marianistas,null,Colegio
Maristes Sants - Les Corts,null,Colegio
Antares,null,Colegio
Abecé,"CENTRE PRIVAT ",Colegio
Giovanni Antonio Farina,null,Colegio
Villar,null,Instituto
Hogar Afundación,Fundación,Instituto
Ramiro Izquierdo,"CENTRE PRIVAT ",Colegio
Belén,null,Colegio
El Rebollet,"CENTRE PRIVAT ",Colegio
Santa María La Real De Huelgas,null,Colegio
SANTA CLARA DE ASÍS,null,Colegio
Jesuïtes Sant Gervasi - Infant Jesús,null,Colegio
de Fomento Peñamayor,null,Colegio
Elisabeth,null,Colegio
Geroa Waldorf Eskola,null,Colegio
Quiñones De León,null,Colegio
Pureza de María-Manacor,null,Colegio
Tarrés,null,Colegio
Marpe-Ciudad Jardín,null,Colegio
Liceo San Juan De La Canal,null,Colegio
Gem,null,Colegio
Dominiques Vallirana,null,Colegio
Paideuterion,null,Colegio
Armentia Ikastola,null,Colegio
Santo Tomás Lizeoa,null,Colegio
Centro De Educación Ays,null,Colegio
Teresiano Del Pilar,null,Colegio
Concertado Bilingüe La Flota Murcia,null,Colegio
Sgdo.cor.de Jesús Y María Inmaculada,null,Colegio
Liceo Monjardín,null,Colegio
Internacional Costa Adeje,null,Colegio
María De La Paz Orellana,null,Colegio
Garbiñe,null,Colegio
Seimar,null,Colegio
Garbí Pere Badalona,null,Colegio
SEI San Narciso,null,Colegio
Santa Magdalena Sofía,"CENTRE PRIVAT ",Colegio
Jardín De Africa,null,Colegio
Seminario Menor De Cáceres,Seminario Menor,Colegio
Seminario Menor San Gabriel,null,Colegio
FEC Nuestra Señora Del Carmen,null,Colegio
Internacional,null,Colegio
Los Boscos,null,Colegio
Beata Francinaina Cirer,null,Colegio
principado,null,Colegio
Elkar Hezi,null,Colegio
Liceo Corbi,"CENTRE PRIVAT ",Colegio
Possumus,null,Colegio
Magale Presentación De María,null,Colegio
La Baronía San Antonio Abad,"CENTRE PRIVAT ",Colegio
Fundación San Vicente Ferrer,"CENTRE PRIVAT ",Colegio
El Ope,null,Colegio
Asti-leku Ikastola,null,Colegio
Fundación Flors,"CENTRE PRIVAT ",Colegio
María Asunta,"CENTRE PRIVAT ",Colegio
Arrels-Esperança,null,Colegio
CFPE máster S.a.,CFPE,Instituto
CFPE rozona Formación,CFPE,Instituto
CFPE seresco,CFPE,Instituto
E.f.a. Boalares,null,Instituto
CIFP Salamanca,CIFP,Instituto
CIFP Toledo,CIFP,Instituto
CFPE escuela De Imagen Personal Mª Del Pilar Guerra,CFPE,Instituto
Cifog-ege,null,Instituto
Efa El Llano,null,Instituto
Efa Quintanes,null,Instituto
EFA Casagrande,null,Instituto
Educatic,null,Instituto
Sagrado Corazón,null,Instituto
Clarín,null,Instituto
E.f.a. El Salto,null,Instituto
Ecotur Valencia,"CENTRE PRIVAT FP ",Instituto
Edib Formació Professional,null,Instituto
Edén,null,Instituto
Condes De Aragón,null,Instituto
Inav Fp,null,Instituto
Inespa,"CENTRE PRIVAT FP ",Instituto
Inforpro,null,Instituto
Mediterráneo,null,Colegio
De Enseñanzas Aplicadas,null,Instituto
Menéndez Pidal,null,Colegio
ISEN FORMACION,null,Instituto
Creu Roja,null,Instituto
"Rama Sanitaria, S.l.",null,Instituto
Ivafe,"CENTRE PRIVAT FP ",Instituto
Cta,null,Instituto
Dental Trainer,null,Instituto
Antonio Machado,"CEIP ",Colegio
CFPE el Prial,CFPE,Instituto
Azorín,"CEIP ",Colegio
Juritecnia,null,Instituto
Kapital Inteligente,null,Instituto
Kuma,null,Instituto
Kreas,null,Instituto
De Técnicas Dentales Fores,null,Instituto
La Encina,null,Escuela Infantil
Deikagest Errenteria,null,Instituto
Deustuko Erribera,null,Instituto
Damián Gómez Alfaro,null,Instituto
Miquel Martí I Pol,null,Colegio
De Estudios En Emergencias Y Catástrofes S.l.,null,Instituto
Josep Pons,null,Instituto
Ramiro Mata,null,Instituto
Enrique Tierno Galván,null,Colegio
Miguel De Cervantes,"CEIP ",Colegio
Nuestra Señora De La Luz,null,Colegio
Down León-amidown-asociación Amigos Síndrome De Down,null,Instituto
Dulcinea,null,Instituto
Edgar,null,Instituto
Edith Formación Avanzada,"CENTRE PRIVAT FP ",Instituto
La Salle Managua,null,Instituto
Les Orenetes,null,Escuela Infantil
Efa La Serna,null,Instituto
Efpa,null,Instituto
Efa El Gamonal,null,Instituto
Efa El Batán,null,Instituto
Eixample Clínic,null,Instituto
Escuela De Hostelería De Castilla-la Mancha,CIFP,Instituto
Centro De Estudios Superiores Gmq,null,Instituto
Laldea,null,Instituto
Centro De Formación Profesional Antonio Peñas,null,Instituto
Lasvi,"CENTRE PRIVAT FP ",Instituto
San Roque S.l.,null,Instituto
Alborada,null,Escuela Infantil
"Centro De Formacion, Terra",null,Instituto
Centro De Hostelería Del Mediterráneo,CIFP,Instituto
Tevián,"CENTRE PRIVAT FP ",Instituto
Lope De Vega,"CENTRE PRIVAT FP ",Instituto
Sustaker,null,Instituto
Superior De Fp Sanitaria Claudio Galeno,null,Instituto
Centro De Innovación Y Tecnología Del Calzado Aideca,null,Instituto
Superior De F.p. En Emergencias Y Protección Civil Claudio Galeno,null,Instituto
Studio,"CENTRE PRIVAT FP ",Instituto
Escuela Politécnica De Navarra,null,Instituto
Msc,null,Instituto
El Piñeiral,null,Instituto
Lucas Ros Consulting,"CENTRE PRIVAT FP ",Instituto
Seresco,null,Instituto
Luis Manuel García Urrea,null,Instituto
Escuela Superior De Gastronomía Y Hostelería,CIFP,Instituto
Sartu Llodio,null,Instituto
"Lumen 1993 Centro Estudios, Sl","CENTRE PRIVAT FP ",Instituto
Lyceum Madrid,null,Instituto
Centro Estudios Profesionales Kaltenia,null,Instituto
Ites-ciape,null,Instituto
Maestria Dental,null,Instituto
Virgen De San Lorenzo,null,Instituto
Juan Carlos I,null,Colegio
Everis School Alicante,null,Instituto
Eniac,null,Instituto
Enti-cf,null,Instituto
Feda Formación Empresarial Dual Alemana-barcelona,null,Instituto
Fundació Uab,null,Instituto
Fundación Laboral de la Construcción Navarra,Fundación,Instituto
Fundación Trefor Valencia,"CENTRE PRIVAT FP ",Instituto
Everis School,null,Instituto
Martutene Lanbide Eskola,null,Instituto
Gimbernat Formación,null,Instituto
Peñascal Markina,null,Instituto
"Nefer Center, S.l.",null,Instituto
Natxo Peluqueros,null,Instituto
Medac Formacciona,null,Instituto
Escola d'aprenents SEAT,null,Instituto
Medac Madrid,null,Instituto
Meatzaldea,null,Instituto
Verge De Cortes. Sorolla,"CENTRE PRIVAT FP ",Instituto
Inupel II,"CENTRE PRIVAT FP ",Instituto
Intras Zamora,null,Instituto
Escuela De Cuchillería De Albacete Amos Núñez,null,Instituto
Escuela de F.P. Ramón y Cajal,null,Instituto
Escuela De Estudios Mercantiles,null,Instituto
Escuela De Imagen Personal Idónea,null,Instituto
Menorca,null,Instituto
La Font,null,Colegio
Escuela De Secretariado,null,Instituto
Escuela De Turismo De Murcia,null,Instituto
Menesiano San Pedro Regalado,null,Instituto
Escuela Familiar Agraria La Planilla,null,Instituto
Escuela Familiar Agraria Guadaljucen,null,Instituto
"Foro Europeo, Escuela De Negocios De Navarra",null,Instituto
Ins.inter III,CENTRE PRIVAT FP I. INTER III,Instituto
Microsistemas,null,Instituto
Peñascal Tolosa,null,Instituto
CFPE chus Y Javier,CFPE,Instituto
Ingeforma,null,Instituto
CFPE escuela Alta Gestión Empresarial,CFPE,Instituto
Corazón De María,null,Instituto
Inforlingua Center,"CENTRE PRIVAT FP , SL.",Instituto
"Florida, Centre E.secundari-tècnic Prof.","CENTRE PRIVAT FP ",Instituto
María Auxiliadora - Salesianas,null,Instituto
Ladat Studios Centre De Formació,null,Instituto
S.e.i.m.,null,Instituto
Comunidad Natahoyo Escuela Revillagigedo - Jesuitas,CFPE,Instituto
CFPE cabruñana,CFPE,Instituto
CIFP Las Palmas,CIFP,Instituto
Los Granaos,null,Instituto
Peluquería Impakto,"CENTRE PRIVAT FP ",Instituto
CFPE galileo Centro Formación,CFPE,Instituto
CFPE formaclinic Gijón,CFPE,Instituto
Carlos III,null,Colegio
CFPE escuela Europea,CFPE,Instituto
CIFP Aiala,CIFP,Instituto
CFPE interpros,CFPE,Instituto
Instede Castellón Fp,"CENTRE PRIVAT FP ",Instituto
Institut Gaudí De La Construcció,null,Instituto
Innovacion En Formación Profesional II,null,Instituto
CFPE svida Gijón,CFPE,Instituto
"Esorib, Centro De Formación Profesional","CENTRE PRIVAT FP ",Instituto
CFPE escuela De Turismo De Asturias,CFPE,Instituto
"Esforzal, Sl",null,Instituto
Folguera-vicent,"CENTRE PRIVAT FP ",Instituto
CFPE gremio De Artesanos Confiteros Del Principado De Asturias,CFPE,Instituto
Christabel,null,Instituto
Ciencias Radiologicas,null,Instituto
Ifp-innovación En Formación Profesional,null,Instituto
Escuela Profesional De Pastelería Y Comercio De Bizkaia,Escuela Profesional,Instituto
Ifp,null,Instituto
Escuela Superior De Imagen Y Sonido Aceimar Valladolid,null,Instituto
Escuela Profesional Xavier,"CENTRE PRIVAT FP ",Instituto
Escuela Superior De Turismo Iriarte,null,Instituto
CFPE escuela De Peluquería Y Estética Macavi,CFPE,Instituto
Escuela Vitae Huarte,null,Instituto
Pax,"CENTRE PRIVAT FP ",Instituto
Eserp Business School,null,Instituto
Esla Formación León,null,Instituto
Esment Escola,null,Instituto
CFPE narseo Vallina,CFPE,Instituto
Intras Parquesol,null,Instituto
CFPE ovida Formación,CFPE,Instituto
CFPE prevención De Riesgos Profesionales Decano Avelino Suárez,CFPE,Instituto
Ins. Inter Iv,"CENTRE PRIVAT FP ",Instituto
Natanael,null,Instituto
Ingafor,null,Instituto
CFPE María Inmaculada,CFPE,Instituto
CFPE formación Sanitaria Principado S.l.,CFPE,Instituto
CFPE gerontológico Jovellanos Centro De Formación,CFPE,Instituto
CFPE tunivers Formación,CFPE,Instituto
Salesianos Padre Aramburu,null,Instituto
CFPE centro De Formación Profesional En Ciencias Radiológicas,CFPE,Instituto
CFPE centro De Formación Integral Blanco's Peluqueros,CFPE,Instituto
"CFPE centro De Estudios Profesionales San Juan, S.l.",CFPE,Instituto
cesur Murcia Olimpic,null,Instituto
"Cev, Centre De Comunicació, Imatge I So",null,Instituto
CFPE centro De Estudios Múltiples Dentales,CFPE,Instituto
