name,prefix,alias
San Blas,null,Instituto
Afentd,"CENTRE ENSENYAMENTS ESPORTIUS ",Instituto
Mimos,null,Escuela Infantil
Virolai,null,Colegio
San Jorge,null,Colegio
Docenter Formación Deportiva,null,Instituto
La Baldufa,null,Escuela Infantil
Acadef,"CENTRE ENSENYAMENTS ESPORTIUS ",Instituto
San Francisco De Asís,null,Colegio
Escune,null,Instituto
Centro Formativo Gm Football Academy,null,Instituto
Soletes,null,Escuela Infantil
Gm Football Academy,"CENTRE ENSENYAMENTS ESPORTIUS ",Instituto
De Aragón,null,Instituto
L'escoleta,"CENTRE PRIV. ED. INF. 1er CICLE ",Escuela Infantil
Sagrados Corazones,null,Colegio
Ramón Y Cajal,null,Colegio
Valsequillo,null,Instituto
La Palma,null,Instituto
San Fernando,null,Colegio
Tartessos,null,Instituto
Liceo La Paz,null,Instituto
Irun,null,Instituto
De Tortosa,null,Instituto
Santa Rosa De Lima,null,Colegio
Acuarela,null,Escuela Infantil
Eibar,null,Instituto
Kunsthal,null,Instituto
Santo Domingo De Guzmán,null,Colegio
Pablo Picasso,null,Instituto
Don Bosco,null,Instituto
Bagabiltza,null,Instituto
Valverde,null,Instituto
Nuestra Señora de La Asunción,null,Colegio
De Valderrobres,null,Instituto
Villa Del Río,null,Instituto
Campanilla,null,Escuela Infantil
San Bartolomé De Tirajana,null,Instituto
De Terrassa,null,Instituto
Institut Del Teatre,null,Instituto
De Manresa,null,Instituto
Santo Domingo,null,Colegio
Mogán,null,Instituto
CPM,CPM,Instituto
Santa Lucía De Tirajana,null,Instituto
La Aldea,null,Instituto
Peter Pan,null,Escuela Infantil
Mainada,null,Escuela Infantil
Pequelandia,null,Escuela Infantil
Santa Ana,"CENTRE PRIVAT ",Colegio
Nuestra Señora Del Buen Consejo,null,Colegio
CALASANZ,null,Colegio
Pureza De María,null,Colegio
Ateneo De Música Y Danza,null,Instituto
Pompeu Fabra,null,Colegio
Jam Session,null,Instituto
Anmavi,null,Instituto
La Milagrosa,"CENTRE PRIVAT ",Colegio
Macarena,null,Instituto
Alexmar,null,Instituto
Divina Providencia,null,Colegio
María Auxiliadora - Salesianas,"CENTRE PRIVAT ",Colegio
Artebi,null,Instituto
Monk School,null,Instituto
Sagrat Cor,null,Colegio
Musikasi,null,Instituto
Nuestra Señora Del Carmen,"CENTRE PRIVAT ",Colegio
Triana,null,Instituto
San Francisco Javier,null,Colegio
Santa Catalina,null,Instituto
Durango,null,Instituto
Peques,null,Escuela Infantil
L'estel,null,Escuela Infantil
Bermeo,null,Instituto
Pablo Ruiz Picasso,null,Instituto
Santurtzi,null,Instituto
De Ourense,null,Instituto
Alborada,null,Colegio
Pekes,null,Escuela Infantil
Cervantes,"CEIP ",Colegio
Alpujarra,null,Instituto
Fernando Lázaro Carreter,null,Instituto
Zalla,null,Instituto
De Zamora,null,Instituto
Canguro,null,Escuela Infantil
De Tarragona,null,Instituto
Alba,null,Colegio
La Ginesta,null,Colegio
San Juan De La Cruz,null,Colegio
Santa Clara,null,Colegio
San José,"CENTRE PRIVAT ",Colegio
Coppelia,null,Instituto
De Sabiñánigo,null,Instituto
La Palmera,null,Instituto
San Roque,null,Colegio
Los Peques,null,Escuela Infantil
Nuestra Señora De Guadalupe,null,Colegio
Lope De Vega,null,Colegio
Sevilla,null,Instituto
Vera Cruz,null,Colegio
Bilbao,null,Instituto
Río Vero,null,Instituto
Sierra Norte,null,Instituto
Fuengirola,null,Instituto
Montoro,null,Instituto
Ramón Llull,null,Colegio
Cádiz,null,Instituto
Granada,null,Instituto
Huelva,null,Instituto
Cristo Rey,null,Colegio
